,gnss_true_x,gnss_true_y,gnss_x,gnss_y,gnss_labels
823,8230,8230,8230.564178,8224.263637,0
824,8240,8240,8241.605373,8235.171844,0
825,8250,8250,8252.045223,8246.553261,0
826,8260,8260,8262.662856,8255.533802,0
827,8270,8270,8271.945406,8266.752971,0
828,8280,8280,8281.091527,8276.252486,0
829,8290,8290,8290.682599,8285.571075,0
830,8300,8300,8300.547099,8295.388542,0
831,8310,8310,8310.128231,8306.166097,0
832,8320,8320,8319.499746,8316.409957,0
833,8330,8330,8329.982874,8327.428141,0
834,8340,8340,8339.724513,8337.513202,0
835,8350,8350,8350.478793,8347.983561,0
836,8360,8360,8361.178663,8359.383942,0
837,8370,8370,8371.802957,8369.3511,0
838,8380,8380,8382.207627,8380.483055,0
839,8390,8390,8391.585349,8390.875481,0
840,8400,8400,8401.606979,8399.69585,0
841,8410,8410,8410.632744,8408.59774,0
842,8420,8420,8419.434125,8418.684666,0
843,8430,8430,8428.656635,8429.336354,0
844,8440,8440,8439.105189,8440.556669,0
845,8450,8450,8448.897067,8450.084288,0
846,8460,8460,8458.524788,8460.726897,0
847,8470,8470,8470.006565,8471.738847,0
848,8480,8480,8480.386056,8482.055963,0
849,8490,8490,8489.445534,8491.585963,0
850,8500,8500,8499.904137,8501.044068,0
851,8510,8510,8510.799035,8511.889138,0
852,8520,8520,8521.693157,8520.556864,0
853,8530,8530,8530.875742,8529.031209,0
854,8540,8540,8539.363109,8539.774718,0
855,8550,8550,8550.517007,8547.871046,0
856,8560,8560,8560.915196,8557.351626,0
857,8570,8570,8570.120948,8568.198272,0
858,8580,8580,8579.070404,8577.524488,0
859,8590,8590,8590.033839,8586.490221,0
860,8600,8600,8600.323778,8597.344797,0
861,8610,8610,8610.283952,8606.024404,0
862,8620,8620,8621.23378,8615.502982,0
863,8630,8630,8631.208868,8625.647081,0
864,8640,8640,8641.667338,8634.584922,0
865,8650,8650,8651.973269,8643.857639,0
866,8660,8660,8661.984053,8654.012672,0
867,8670,8670,8671.35726,8665.03565,0
868,8680,8680,8680.641008,8674.498768,0
869,8690,8690,8689.932216,8684.494857,0
870,8700,8700,8701.048822,8693.419705,0
871,8710,8710,8712.513446,8702.530323,0
872,8720,8720,8722.890451,8712.920426,0
873,8730,8730,8733.231398,8723.408357,0
874,8740,8740,8743.798978,8734.574082,0
875,8750,8750,8752.271379,8744.295801,0
876,8760,8760,8762.556618,8753.49637,0
877,8770,8770,8772.68054,8762.873741,0
878,8780,8780,8782.184711,8773.139133,0
879,8790,8790,8792.988308,8784.145636,0
880,8800,8800,8802.442211,8793.435478,0
881,8810,8810,8811.549011,8803.393872,0
882,8820,8820,8822.291309,8813.667204,0
883,8830,8830,8833.401975,8823.459002,0
884,8840,8840,8842.775276,8833.932958,0
885,8850,8850,8852.172276,8843.590916,0
886,8860,8860,8862.732052,8854.016993,0
887,8870,8870,8873.63827,8863.342194,0
888,8880,8880,8884.504,8873.360919,0
889,8890,8890,8894.08871,8883.109795,0
890,8900,8900,8904.225372,8892.545393,0
891,8910,8910,8912.99971,8902.830524,0
892,8920,8920,8922.687684,8914.337907,0
893,8930,8930,8931.907119,8924.202411,0
894,8940,8940,8940.518058,8934.237739,0
895,8950,8950,8948.835217,8944.828515,0
896,8960,8960,8959.3193,8954.256391,0
897,8970,8970,8968.322049,8964.805346,0
898,8980,8980,8977.148934,8976.058212,0
899,8990,8990,8987.481784,8986.173131,0
900,9000,9000,8998.350721,8996.516305,0
901,9010,9010,9009.073108,9006.898199,0
902,9020,9020,9018.26497,9018.190903,0
903,9030,9030,9027.308403,9028.23785,0
904,9040,9040,9037.108929,9037.68631,0
905,9050,9050,9046.884626,9048.167513,0
906,9060,9060,9056.284966,9058.060141,0
907,9070,9070,9066.535507,9067.538372,0
908,9080,9080,9076.754747,9078.263198,0
909,9090,9090,9085.652407,9087.882027,0
910,9100,9100,9094.780835,9098.995127,0
911,9110,9110,9103.6922,9108.732333,0
912,9120,9120,9113.555473,9119.292168,0
913,9130,9130,9123.265278,9130.188408,0
914,9140,9140,9134.881343,9139.836204,0
915,9150,9150,9143.385507,9148.904859,0
916,9160,9160,9153.070992,9158.931447,0
917,9170,9170,9163.249175,9169.029621,0
918,9180,9180,9173.118071,9179.352144,0
919,9190,9190,9181.241366,9189.801309,0
920,9200,9200,9190.987618,9199.549182,0
921,9210,9210,9199.897256,9209.773981,0
922,9220,9220,9208.74246,9220.732968,0
923,9230,9230,9218.421288,9230.495078,0
924,9240,9240,9228.338593,9239.499604,0
925,9250,9250,9238.275817,9248.485172,0
926,9260,9260,9247.462597,9257.923289,0
927,9270,9270,9258.263143,9268.780474,0
928,9280,9280,9268.907991,9278.212037,0
929,9290,9290,9279.64046,9287.906448,0
930,9300,9300,9289.510282,9298.122443,0
931,9310,9310,9299.197834,9308.945303,0
932,9320,9320,9309.770096,9320.659059,0
933,9330,9330,9319.47671,9331.088983,0
934,9340,9340,9331.014931,9341.164088,0
935,9350,9350,9341.309975,9351.318351,0
936,9360,9360,9350.868708,9360.866895,0
937,9370,9370,9360.613923,9370.590756,0
938,9380,9380,9370.958583,9381.27245,0
939,9390,9390,9379.682958,9390.748853,0
940,9400,9400,9388.45527,9400.047172,0
941,9410,9410,9396.188343,9408.449108,0
942,9420,9420,9404.340286,9419.569679,0
943,9430,9430,9414.45402,9428.999852,0
944,9440,9440,9424.556047,9439.110915,0
945,9450,9450,9435.68325,9449.429365,0
946,9460,9460,9446.087439,9459.489331,0
947,9470,9470,9456.971838,9468.58994,0
948,9480,9480,9466.512483,9479.188548,0
